value	 
a lot	 
about	1
above	1
after	1
airplane	0
all	1
all gone	 
alligator	0
animal	0
ankle	0
another	1
ant	0
any	1
apple	1
applesauce	0
arm	0
around	1
asleep	1
at	1
aunt	0
awake	0
away	1
baa baa	 
baby	1
babysitter	0
babysitter's name	 
back	1
backyard	0
bad	1
ball	1
balloon	0
banana	1
basement	0
basket	0
bat	0
bath	1
bathroom	1
bathtub	0
beach	1
beads	0
beans	0
bear	0
bed	0
bedroom	1
bee	1
before	1
behind	1
belly button	 
belt	0
bench	1
beside	1
better	1
bib	0
bicycle	0
big	1
bird	1
bite	1
black	1
blanket	0
block	0
blow	0
blue	1
boat	0
book	1
boots	0
bottle	0
bowl	0
box	1
boy	1
bread	1
break	1
breakfast	1
bring	1
broken	0
broom	0
brother	1
brown	1
brush	0
bubbles	0
bucket	0
bug	0
build	1
bump	1
bunny	0
bus	0
butter	1
butterfly	0
buttocks	 
button	1
buy	1
by	1
bye	1
cake	0
call	1
camera	0
camping	1
candy	0
car	1
careful	1
carrots	0
carry	1
cat	0
catch	1
cereal	0
chair	1
